player_id,player_name,active_flag,rookie_year,last_season,tbd,active_team
1630462,"McDonald, Aari",1,2021,2024,0,sparks
100020,"McGee, Pam",0,1997,1998,0,
1627677,"McGee-Stafford, Imani",0,2016,2019,0,
100411,"McGhee, Carla",0,1999,2002,0,
203414,"McKenith, Nadirah",0,2013,2014,0,
203881,"McKinney, Shanece",0,2014,2014,0,
100412,"McWilliams-Franklin, Taj",0,1999,2012,0,
203416,"Meesseman, Emma",0,2013,2022,0,
1631141,"Melbourne, Jade",1,2023,2024,0,mystics
100433,"Melvin, Chasity",0,1999,2010,0,
100984,"Mendiola, Giuliana",0,2004,2004,0,
1641642,"Meng, Li",0,2023,2023,0,
1629470,"Mestdagh, Kim",0,2019,2019,0,
1641671,"Meyers, Abby",0,2023,2023,0,
1641659,"Mikesell, Taylor",0,2023,2023,0,
1631263,"Milic, Nikolina",0,2022,2023,0,
201902,"Miller, Britany",0,2009,2009,0,
100690,"Miller, Coco",0,2001,2012,0,
1641649,"Miller, Diamond",1,2023,2024,0,lynx
100627,"Miller, Kelly",0,2001,2012,0,
100851,"Miller, Teana",0,2003,2007,0,
100555,"Mills, Tausha",0,2000,2007,0,
201903,"Milovanovic, Jelena",0,2014,2014,0,
100396,"Milton-Jones, DeLisha",0,1999,2015,0,
100876,"Min Jung, Sun",0,2003,2003,0,
1628909,"Mitchell, Kelsey",1,2018,2024,0,fever
201507,"Mitchell, Leilani",0,2008,2021,0,
1627676,"Mitchell, Tiffany",1,2016,2024,0,sun
1628866,"Miyem, Endy",0,2018,2018,0,
200688,"Moeggenberg, Liz",0,2006,2007,0,
100718,"Moises Pinto, Adriana",0,2001,2007,0,
202264,"Mokango, Chanel",0,2010,2010,0,
1629492,"Mompremier, Beatrice",0,2020,2022,0,
202261,"Monroe, Jacinta",0,2010,2011,0,
101065,"Montanana, Anna",0,2009,2009,0,
202652,"Montgomery, Alex",0,2011,2018,0,
1628298,"Montgomery, Lanay",0,2017,2017,0,
201904,"Montgomery, Renee",0,2009,2019,0,
100680,"Moore, Jackie",0,2002,2002,0,
101042,"Moore, Jessica",0,2005,2013,0,
203409,"Moore, Lindsey",0,2013,2014,0,
101028,"Moore, Loree",0,2005,2009,0,
202632,"Moore, Maya",0,2011,2019,0,
201077,"Moore, Navonda",0,2007,2008,0,
100374,"Moore, Penny",0,1997,1999,0,
100734,"Moore, Tamara",0,2002,2007,0,
100085,"Moore, Yolanda",0,1997,1999,0,
100674,"Moos, Carolyn",0,2002,2002,0,
202623,"Morello, Aneika",0,2012,2017,0,
202680,"Morris, Darxia",0,2014,2017,0,
202265,"Morris, Jene",0,2010,2012,0,
203001,"Morrison, Ziomara",0,2012,2012,0,
201051,"Mosby, Bernice",0,2007,2009,0,
1627688,"Moseley, Brene",0,2016,2016,0,
100018,"Mosley-McAfee, Judy",0,1997,1997,0,
204321,"Mosqueda-Lewis, Kaleena",0,2015,2020,0,
100678,"Mowe, Jenny",0,2001,2003,0,
1628911,"Muldrow, Teana",0,2018,2018,0,
100551,"Mulitauaopele, Naomi",0,2000,2000,0,
201062,"Murphy, Shay",0,2007,2017,0,
1642299,"Mühl, Nika",1,2024,2024,0,storm
200707,"N'Garsanet, Christelle",0,2006,2006,0,
100353,"Nagy, Andrea",0,1999,2002,0,
101075,"Nan, Chen",0,2009,2009,0,
1628913,"Nared, Jaime",0,2018,2019,0,
100387,"Ndiaye-Diatta, Astou",0,1999,2007,0,
200670,"Ndongue, Emmeline",0,2006,2006,0,
203838,"Ndour-Fall, Astou",1,2014,2024,0,sun
1631135,"Nelson-Ododa, Olivia",1,2022,2024,0,sun
100091,"Nemcova, Eva",0,1997,2001,0,
100386,"Neves, Claudia",0,1999,2002,0,
100797,"Neves, Claudia",0,1999,2001,0,
101040,"Newton, Chelsea",0,2005,2009,0,
100807,"Ngoyisa, Bernadette",0,2002,2008,0,
100093,"Nicholson, Tina",0,1997,1997,0,
101004,"Nieuwveen, Marlous",0,2005,2005,0,
100439,"Nikolich, Mila",0,1999,1999,0,
201514,"Nnamaka, Chioma",0,2008,2008,0,
100639,"Nolan, Deanna",0,2001,2009,0,
203021,"Novosel, Natalie",0,2012,2012,0,
1628915,"Nurse, Kia",1,2018,2024,0,sparks
100215,"Nygaard, Vanessa",0,1999,2003,0,
202626,"O'Hea, Jenna",0,2011,2016,0,
204362,"O'Neill, Jennifer",0,2015,2015,0,
201475,"O'Neill, Kristen",0,2008,2008,0,
1630127,"Odom, Leaonna",0,2020,2021,0,
201544,"Oga, Yuko",0,2008,2008,0,
1629481,"Ogunbowale, Arike",1,2019,2024,0,wings
203823,"Ogwumike, Chiney",0,2014,2023,0,
203014,"Ogwumike, Nneka",1,2012,2024,0,storm
